Processes: 305 total, 2 running, 303 sleeping, 1508 threads 
2020/10/06 14:30:01
Load Avg: 2.62, 4.03, 4.61 
CPU usage: 14.10% user, 34.61% sys, 51.28% idle 
SharedLibs: 154M resident, 52M data, 12M linkedit.
MemRegions: 166522 total, 1671M resident, 54M private, 854M shared.
PhysMem: 7826M used (3311M wired), 365M unused.
VM: 1420G vsize, 1993M framework vsize, 63112809(0) swapins, 66284402(0) swapouts.
Networks: packets: 121442898/137G in, 57233235/8970M out.
Disks: 53236517/850G read, 42358067/717G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW     MSGSENT    MSGRECV    SYSBSD    SYSMACH    CSW       PAGEINS IDLEW     POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
61391  XprotectService  0.0  00:00.20 2     1   26     8872K 0B    3016K 61391 1     sleeping *0[3]       0.00000 0.00000    0   8666      176     114        45         4672      307        940       46      2         0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
61383  clion            0.0  06:35.25 49    1   376    985M  0B    234M  61383 1     sleeping *0[624]     0.00000 0.00000    501 2150708   21329   652824     244063     2000076   1392192    2897758   5322    38012     0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61343  CptHost          0.0  00:00.15 3     1   138    2976K 0B    1624K 61343 61197 sleeping *0[201]     0.00000 0.00000    501 4620      232     1820       433        3269      5767       3584      48      84        0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61324  IMRemoteURLConne 0.0  00:00.02 2     1   29     748K  0B    736K  61324 1     sleeping  0[0]       0.00000 0.00000    501 813       123     210        71         627       414        224       0       0         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61323  netbiosd         0.0  00:00.06 2     1   24     2744K 0B    2332K 61323 1     sleeping *0[1]       0.00000 0.00000    222 1975      164     140        59         1485      338        962       46      14        0.0   0      0      _netbios           N/A    N/A   N/A   N/A   N/A   N/A  
61322  IMRemoteURLConne 0.0  00:00.07 4     2   78     2660K 0B    1840K 61322 1     sleeping *0[1]       0.00000 0.00000    501 3286      204     292        101        1451      726        870       12      11        0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61319  captiveagent     0.0  00:00.04 4     1   43     2756K 0B    2496K 61319 1     sleeping *0[1]       0.00000 0.00000    258 1853      144     151        75         864       468        415       35      11        0.0   0      0      _captiveagent      N/A    N/A   N/A   N/A   N/A   N/A  
61314  AppSSOAgent      0.0  00:00.19 3     1   143    5036K 0B    3636K 61314 1     sleeping *0[201]     0.00000 0.00000    501 5408      274     1896       526        4855      5849       3679      37      72        0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61310  wifivelocityd    0.0  00:00.26 2     1   84     6360K 0B    5008K 61310 1     sleeping *0[10]      0.00000 0.00000    0   5147      198     2173       1034       4216      2697       2077      134     6         0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
61308  WiFiVelocityAgen 0.0  00:00.02 2     1   40     1048K 0B    1036K 61308 1     sleeping *0[6]       0.00000 0.00000    501 1056      145     164        58         580       334        254       50      0         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61305  caphost          0.0  00:00.56 5     1   221    5728K 0B    3792K 61305 61197 sleeping *0[203]     0.00000 0.00000    501 10950     337     2893       692        8422      532858     6171      63      83        0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61268  bash             0.0  00:00.12 1     0   21     832K  0B    388K  61268 61264 sleeping *0[1]       0.00000 0.00000    501 3503      1728    145        63         10009     189        1566      103     0         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61267  com.apple.Accoun 0.0  00:00.01 2     1   20     672K  0B    660K  61267 1     sleeping *0[1]       0.00000 0.00000    0   697       116     79         33         341       161        232       0       1         0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
61266  AudioComponentRe 0.0  00:00.04 2     1   32     3108K 0B    3088K 61266 1     sleeping *0[1]       0.00000 0.00000    0   1667      150     83         34         714       199        179       2       1         0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
61265  systemsoundserve 0.0  00:00.08 4     1   74     4532K 0B    4180K 61265 1     sleeping *0[1]       0.00000 0.00000    0   3271      401     784        194        1565      1759       1804      259     6         0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
